Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
1,254.664779663,-261.594116211,206.675750732,363.162506104,-310.721618652,284.108398438,
2,254.670578003,-261.605194092,206.646301270,363.173156738,-310.727661133,284.087005615,
3,254.683258057,-261.617523193,206.614578247,363.169342041,-310.732574463,284.063995361,
4,254.684707642,-261.629302979,206.585296631,363.161773682,-310.740142822,284.036895752,
5,254.685729980,-261.642761230,206.552642822,363.178527832,-310.750061035,284.011291504,
6,254.685119629,-261.652496338,206.526428223,363.177490234,-310.758331299,283.982055664,
7,254.676940918,-261.661590576,206.498916626,363.183410645,-310.768066406,283.955322266,
8,254.675857544,-261.668609619,206.470520020,363.186889648,-310.775604248,283.926849365,
9,254.680679321,-261.681243896,206.441513062,363.176788330,-310.785217285,283.892517090,
10,254.674530029,-261.692047119,206.415817261,363.158050537,-310.795410156,283.862091064,
11,254.669540405,-261.702758789,206.379394531,363.163238525,-310.807891846,283.827697754,
12,254.658020020,-261.719543457,206.352249146,363.161529541,-310.822723389,283.793518066,
13,254.630645752,-261.734832764,206.318511963,363.145446777,-310.834930420,283.757080078,
14,254.638961792,-261.756500244,206.280410767,363.132965088,-310.851257324,283.722900391,
15,254.637268066,-261.778686523,206.241806030,363.147613525,-310.868469238,283.683258057,
16,254.603942871,-261.802673340,206.202941895,363.126281738,-310.883026123,283.643432617,
17,254.601638794,-261.832946777,206.162780762,363.101654053,-310.902801514,283.603088379,
18,254.596038818,-261.866455078,206.112777710,363.091094971,-310.921173096,283.560791016,
19,254.586502075,-261.899505615,206.066329956,363.062438965,-310.941619873,283.513641357,
20,254.545623779,-261.939727783,206.018447876,363.045257568,-310.960205078,283.471527100,
21,254.536270142,-261.980712891,205.966323853,363.024169922,-310.981231689,283.429565430,
22,254.509277344,-262.023406982,205.917984009,362.993408203,-311.003234863,283.384521484,
23,254.507507324,-262.069183350,205.863891602,362.977447510,-311.025665283,283.337127686,
24,254.488220215,-262.114898682,205.798187256,362.956512451,-311.048736572,283.288238525,
25,254.445739746,-262.164794922,205.744110107,362.920349121,-311.070800781,283.242614746,
