,time,x
0,0.0,0.0
1,0.004,-0.31652832100002115
2,0.008,-0.5983581549999712
3,0.012,-0.8392944340000099
4,0.016,-1.142242431999989
5,0.02,-1.4224243169999795
6,0.024,-1.6504211430000169
7,0.028,-1.9395446780000043
8,0.032,-2.281616210999971
9,0.036,-2.6121215829999755
10,0.04,-2.9543457039999907
11,0.044,-3.3269042969999987
12,0.048,-3.723937988999978
13,0.052,-4.089508056999989
14,0.056,-4.502136231000009
15,0.06,-4.908569335999971
16,0.064,-5.316650390999996
17,0.068,-5.736175537999998
18,0.072,-6.157226562999995
19,0.076,-6.534240722999982
20,0.08,-6.940368653000007
21,0.084,-7.363769531999992
22,0.088,-7.767822265999996
23,0.092,-8.195281982999973
24,0.096,-8.577331543000014
25,0.1,-9.064910888999975
26,0.104,-9.488616944
27,0.108,-9.978942872000005
28,0.112,-10.43469238299997
29,0.116,-10.919952393000017
30,0.12,-11.371429444
31,0.124,-11.808105468999997
32,0.128,-12.281097412999998
33,0.132,-12.701629638999975
34,0.136,-13.141662597999982
35,0.14,-13.59106445399999
36,0.144,-14.04544067400002
37,0.148,-14.483673096000018
38,0.152,-14.953247071000021
39,0.156,-15.415313721000018
40,0.16,-15.85266113299997
41,0.164,-16.24645996099997
42,0.168,-16.676574707999976
43,0.172,-17.070281982999973
44,0.176,-17.407012940000016
45,0.18,-17.73416137700002
46,0.184,-18.01045227099999
47,0.188,-18.231781006000006
48,0.192,-18.398651123999997
49,0.196,-18.454925537999998
50,0.2,-18.404403686999984
51,0.204,-18.350769042999985
52,0.208,-18.330520629999995
53,0.212,-18.354492187999995
54,0.216,-18.40107727099999
55,0.22,-18.45967102099999
56,0.224,-18.467864991
57,0.228,-18.481658936000002
58,0.232,-18.486785889000004
59,0.236,-18.467864991
60,0.24,-18.453186036000005
61,0.244,-18.429199218999997
62,0.248,-18.417037964000002
63,0.252,-18.412780761999983
64,0.256,-18.434310914000008
65,0.26,-18.467926025999986
66,0.264,-18.517990112999996
67,0.268,-18.582000733
68,0.272,-18.673431397
69,0.276,-18.787902833000004
70,0.28,-18.899444580999983
71,0.284,-19.05418395999999
72,0.288,-19.199859619999984
73,0.292,-19.359848022999984
74,0.296,-19.49537658699998
